precinct,index_crimes_2024
40,3283
41,1580
42,2378
43,3183
44,3223
45,1862
46,2452
47,3123
48,2486
49,2243
50,1627
52,2784
60,1137
61,1470
62,1326
63,1130
66,1171
67,2122
68,871
69,760
70,1359
71,774
72,1287
76,545
78,954
73,1600
75,3581
77,1225
79,1318
81,880
83,1806
84,1713
88,914
90,1650
94,1160
1,1793
5,1339
6,1789
7,1019
9,1342
10,1092
13,1772
14,3423
17,904
18,2662
19,2449
20,1240
22,99
23,1378
24,1011
25,1466
26,763
28,1116
30,905
32,1313
33,991
34,1521
100,481
101,860
102,1257
103,2304
105,1090
106,1609
107,1572
113,1072
104,1811
108,1738
109,3058
110,2980
111,1185
112,945
114,2451
115,2614
116,860
120,1226
121,871
122,878
123,478
